period,odds,score,matchID,odds_home,odds_draw,odds_away,score_home,score_away,home_name,home_short,away_name,away_short
06.03.21 ,2.20 / 3.36 / 3.29,0:0,4318,2.20,3.36,3.29,0,0,Aston Villa,AST ,Wolverhampton,WOL 
06.03.21 ,3.41 / 3.42 / 2.12,1:2,4319,3.41,3.42,2.12,1,2,Brighton Hove,BHA ,Leicester City,LEI 
07.03.21 ,2.71 / 3.43 / 2.59,0:0,4320,2.71,3.43,2.59,0,0,West Brom,WBA ,Newcastle,NEW 
07.03.21 ,1.29 / 5.67 / 9.93,0:1,1433,1.29,5.67,9.93,0,1,Liverpool,LIV ,Fulham,FUL 
07.03.21 ,1.59 / 4.11 / 5.69,0:2,4321,1.59,4.11,5.69,0,2,Man City,MCI ,Man United,MUN 
07.03.21 ,1.53 / 4.18 / 6.31,4:1,4322,1.53,4.18,6.31,4,1,Tottenham,TOT ,Crystal Palace,CRY 
08.03.21 ,1.57 / 4.12 / 5.88,2:0,4323,1.57,4.12,5.88,2,0,Chelsea,CHE ,Everton,EVE 
08.03.21 ,2.08 / 3.61 / 3.43,2:0,4324,2.08,3.61,3.43,2,0,West Ham,WHU ,Leeds United,LEE 
10.03.21 ,1.18 / 7.31 / 16.12,5:2,4325,1.18,7.31,16.12,5,2,Man City,MCI ,Southampton,SOU 
12.03.21 ,3.41 / 3.49 / 2.12,1:1,4326,3.41,3.49,2.12,1,1,Newcastle,NEW ,Aston Villa,AST 
13.03.21 ,4.74 / 4.07 / 1.68,0:0,4327,4.74,4.07,1.68,0,0,Leeds United,LEE ,Chelsea,CHE 
13.03.21 ,2.15 / 3.33 / 3.50,1:0,4328,2.15,3.33,3.50,1,0,Crystal Palace,CRY ,West Brom,WBA 
13.03.21 ,1.93 / 3.56 / 3.97,1:2,4329,1.93,3.56,3.97,1,2,Everton,EVE ,Burnley,BUR 
13.03.21 ,10.86 / 5.99 / 1.26,0:3,4330,10.86,5.99,1.26,0,3,Fulham,FUL ,Man City,MCI 
14.03.21 ,2.58 / 3.04 / 3.01,1:2,4331,2.58,3.04,3.01,1,2,Southampton,SOU ,Brighton Hove,BHA 
14.03.21 ,1.47 / 4.41 / 6.82,5:0,4332,1.47,4.41,6.82,5,0,Leicester City,LEI ,Sheffield Utd,SHE 
14.03.21 ,2.48 / 3.47 / 2.78,2:1,4333,2.48,3.47,2.78,2,1,Arsenal,ARS ,Tottenham,TOT 
14.03.21 ,1.56 / 4.26 / 5.62,1:0,4334,1.56,4.26,5.62,1,0,Man United,MUN ,West Ham,WHU 
15.03.21 ,4.53 / 3.61 / 1.81,0:1,1435,4.53,3.61,1.81,0,1,Wolverhampton,WOL ,Liverpool,LIV 
19.03.21 ,2.52 / 3.46 / 2.69,1:2,4335,2.52,3.46,2.69,1,2,Fulham,FUL ,Leeds United,LEE 
20.03.21 ,1.75 / 3.33 / 5.45,3:0,4336,1.75,3.33,5.45,3,0,Brighton Hove,BHA ,Newcastle,NEW 
21.03.21 ,2.79 / 3.46 / 2.46,3:3,4337,2.79,3.46,2.46,3,3,West Ham,WHU ,Arsenal,ARS 
