Date,MAGS.Close,TSLA.Close,GOOG.Close,AAPL.Close,MSFT.Close,AMZN.Close,META.Close,NVDA.Close
22/02/2024,38.2,197.4,145.3,184.4,411.6,174.6,486.1,78.5
23/02/2024,38.0,192.0,145.3,182.5,410.3,175.0,484.0,78.8
26/02/2024,37.8,199.4,138.8,181.2,407.5,174.7,481.7,79.1
27/02/2024,38.0,199.7,140.1,182.6,407.5,173.5,487.0,78.7
28/02/2024,37.7,202.0,137.4,181.4,407.7,173.2,484.0,77.7
29/02/2024,38.2,201.9,139.8,180.8,413.6,176.8,490.1,79.1
01/03/2024,38.6,202.6,138.1,179.7,415.5,178.2,502.3,82.3
04/03/2024,38.3,188.1,134.2,175.1,414.9,177.6,498.2,85.2
05/03/2024,37.7,180.7,133.8,170.1,402.6,174.1,490.2,86.0
06/03/2024,38.0,176.5,132.6,169.1,402.1,173.5,496.1,88.7
07/03/2024,38.9,178.6,135.2,169.0,409.1,176.8,512.2,92.7
08/03/2024,38.2,175.3,136.3,170.7,406.2,175.4,506.0,87.5
11/03/2024,37.7,177.8,138.9,172.8,404.5,172.0,483.6,85.8
12/03/2024,38.9,177.5,139.6,173.2,415.3,175.4,499.8,91.9
13/03/2024,38.6,169.5,140.8,171.1,415.1,176.6,495.6,90.9
14/03/2024,38.4,162.5,144.3,173.0,425.2,178.8,491.8,87.9
15/03/2024,38.1,163.6,142.2,172.6,416.4,174.4,484.1,87.8
18/03/2024,38.8,173.8,148.5,173.7,417.3,174.5,497.0,88.5
19/03/2024,38.9,171.3,147.9,176.1,421.4,175.9,496.2,89.4
20/03/2024,39.5,175.7,149.7,178.7,425.2,178.1,505.5,90.4
21/03/2024,39.3,172.8,148.7,171.4,429.4,178.1,507.8,91.4
22/03/2024,39.8,170.8,151.8,172.3,428.7,178.9,509.6,94.3
25/03/2024,39.7,172.6,151.1,170.9,422.9,179.7,503.0,95.0
26/03/2024,39.4,177.7,151.7,169.7,421.6,178.3,495.9,92.6
27/03/2024,39.2,179.8,151.9,173.3,421.4,179.8,493.9,90.3
28/03/2024,39.2,175.8,152.3,171.5,420.7,180.4,485.6,90.4
01/04/2024,39.3,175.2,156.5,170.0,424.6,181.0,491.4,90.4
02/04/2024,38.9,166.6,155.9,168.8,421.4,180.7,497.4,89.5
03/04/2024,39.2,168.4,156.4,169.6,420.5,182.4,506.7,89.0
04/04/2024,38.7,171.1,151.9,168.8,417.9,180.0,510.9,85.9
05/04/2024,39.3,164.9,153.9,169.6,425.5,185.1,527.3,88.0
08/04/2024,39.4,173.0,156.1,168.4,424.6,185.2,519.3,87.1
09/04/2024,39.4,176.9,158.1,169.7,426.3,185.7,516.9,85.4
10/04/2024,39.3,171.8,157.7,167.8,423.3,185.9,519.8,87.0
11/04/2024,40.3,174.6,160.8,175.0,427.9,189.1,523.2,90.6
12/04/2024,39.6,171.1,159.2,176.6,421.9,186.1,511.9,88.2
15/04/2024,38.7,161.5,156.3,172.7,413.6,183.6,500.2,86.0
16/04/2024,38.4,157.1,156.0,169.4,414.6,183.3,499.8,87.4
17/04/2024,38.0,155.4,156.9,168.0,411.8,181.3,494.2,84.0
18/04/2024,37.8,149.9,157.5,167.0,404.3,179.2,501.8,84.7
19/04/2024,36.5,147.1,155.7,165.0,399.1,174.6,481.1,76.2
22/04/2024,36.9,142.1,157.9,165.8,401.0,177.2,481.7,79.5
23/04/2024,37.6,144.7,159.9,166.9,407.6,179.5,496.1,82.4
24/04/2024,38.0,162.1,161.1,169.0,409.1,176.6,493.5,79.7
25/04/2024,37.5,170.2,157.9,169.9,399.0,173.7,441.4,82.6
26/04/2024,38.7,168.3,173.7,169.3,406.3,179.6,443.3,87.7
29/04/2024,39.3,194.1,167.9,173.5,402.3,181.0,432.6,87.8
30/04/2024,38.3,183.3,164.6,170.3,389.3,175.0,430.2,86.4
